"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","747","TC03 - Invalid Password","chromium","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","1027","Login Test Case using Valid User","chromium","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","1354","Login Test Case using Invalid Credentials","chromium","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","824","TC05 - Empty Username and Password","webkit","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","1012","TC02 - Invalid Username","webkit","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","705","has title","chromium","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
"","1983","Login Test Case using Locked Out User","firefox","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","521","3 - Get Current User","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1334","7 - Get All Users","chromium","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","717","9 - Logout User","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","913","TC04 - Invalid Username and Password","webkit","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","683","TC05 - Empty Username and Password","chromium","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","2145","Get All users API Test","chromium","2026-09-02","passed","2026-09-02","","tests\api.spec.js","",""
"","266","Logout Test Case","chromium","2026-09-04","failed","2026-09-04","","tests\logout.spec.js","",""
"","362","Smoke Test - Complete End to End Flow","chromium","2026-09-04","failed","2026-09-04","","SmokeTest\smoketest.spec.js","",""
"","2315","Complete Product Checkout","firefox","2026-09-04","failed","2026-09-04","","tests\Checkout.spec.js","",""
"","1039","8 - Change Password","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1095","7 - Get All Users","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1399","Login Test Case using Invalid Credentials","firefox","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","1017","8 - Change Password","chromium","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","714","5 - Replace Account","webkit","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","5453","has title","firefox","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
"","703","10 - Delete Account","chromium","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1699","Login Test Case using Valid User","firefox","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","1721","get started link","webkit","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
"","1028","Login Test Case using Locked Out User","chromium","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","12","9 - Delete Account","chromium","2026-09-02","skipped","2026-09-02","Users API Automation","tests\api.spec.js","",""
"","2571","get started link","firefox","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
